Ransomware dataset,,,,,,,,,
,,,,,,,,,
Company,Sector,Short description,Consequences,Ransom cost,Was ransom paid?,Date,Location,Group behind attack,Source
Nordex,manufacturer,"designs, sells and manufactures wind turbines",business had shut down its IT systems to prevent the assault from spreading,Not communicated ,Not communicated,Mar-21,Denmark,Conti,https://www.bleepingcomputer.com/news/security/wind-turbine-firm-nordex-hit-by-conti-ransomware-attack/
Quanta,supplier,"makes Macbooks and hardware for HP, Facebook and Google","stole data belonging to the company, like drawings and schematics meant to be used in relation to some Apple products",$50 million ,No,Mar-21,USA,REvil,https://www.techrepublic.com/article/apple-supplier-quanta-hit-with-50-million-ransomware-attack-from-revil/
Rompetrol,Oil/Gas,company that operates Romania’s largest refinery Petromidia,forced to shut down its websites and the Fill&Go service at gas stations.,Unknown multi-million dollar,Not communicated,Mar-21,Romania,Hive ,https://www.cshub.com/attacks/news/iotw-romanian-oil-company-hit-by-complex-cyber-attack
Stratus Technologies ,Technology ,major producer of fault tolerant computer servers and software,took some systems offline to prevent the attack’s spread,Not communicated ,Not communicated,Mar-21,USA,Not communicated,https://www.bleepingcomputer.com/news/security/high-availability-server-maker-stratus-hit-by-ransomware/
MBA Group ,finance,print company that provides support services to financial institutions. ,operational disruption to systems and a small proportion of client work. ,Not communicated ,Not communicated,Mar-21,UK,Not communicated,https://www.printweek.com/news/article/print-group-hit-by-cyber-attack
Ticketcounter ,services provider,e-Ticketing platform and self-service machines,"data contained 1.9M unique email addresses which were offered for sale on a hacking forum alongside names, physical and IP addresses, genders, dates of birth, payment histories and in some cases, bank account numbers. ",Not communicated ,Not communicated,Mar-21,Netherlands,Not communicated,https://www.itsecuritynews.info/ticketcounter-1921722-breached-accounts/
AllyAlign,healthcare,a care management company that focuses on the needs of patients with chronic and complex medical conditions.,"he systems accessed by the attackers contained members’ first and last names, addresses, dates of birth, Social Security numbers, Medicare health insurance claim numbers, Medicare beneficiary identifiers, medical claims histories, health insurance policy numbers, and other medical information.",Not communicated ,Not communicated,Mar-21,USA,Not communicated,https://www.netsec.news/allyalign-health-ransomware-attack-impacts-tens-of-thousands-of-patients/
Woodcreek ,healthcare,A medical practice management firm that provides support to Tacoma-based MultiCare Health System,scanned clinical and financial data and other business records on an archive server was stolen by the attackers,Not communicated ,Not communicated,Mar-21,USA,Not communicated,https://www.securityweek.com/breach-exposes-data-200k-health-system-staff-patients
Spirit Airlines ,logistics,ultra-low-cost passenger airline,"published on the dark web 40GB of data with over 33,000 files. Financial data, personal information of customers who purchased tickets to fly with the airline between 2006 and 2021.",Not communicated ,Not communicated,Mar-21,USA,Nefilim,https://www.technadu.com/nefilim-ransomware-group-hit-spirit-airlines/252679/
Benefit Recovery Specialists,healthcare,Medicaid subcontractor that provides billing and collection services to certain healthcare providers and payers,The personal data of over a quarter of a million people has been exposed ,Not communicated,Not communicated,Mar-21,USA,Not communicated,https://www.infosecurity-magazine.com/news/data-breach-at-texas-benefits/
Flagstar Bank ,finance,bank,"the threat actors accessed sensitive customer details, including full names and social security numbers.",Not communicated,Not communicated,Mar-21,USA,Clop,https://www.cpomagazine.com/cyber-security/flagstar-bank-data-breach-leaked-sensitive-information-of-1-5-million-customers/
"St. Bernards Total Life Healthcare, Inc.",healthcare,a managed care program providing a comprehensive set of healthcare services to individuals 55 and older,"The information accessed by the attack included name, date of birth, address, social security number and diagnosis codes",Not communicated,Not communicated,Mar-21,USA,Not communicated,https://www.kait8.com/2021/03/13/total-life-healthcare-data-breached-ransomware-attack/
PDI Group ,supplier,"company that manufactures a wide range of ground support equipment for military needs, such as dollies, trollies, and platforms for transporting weapons, engines, and airplane parts during servicing operations.",more than 700 GB of data stolen from PDI’s internal network,Not communicated,Not communicated,Mar-21,USA,Babuk,https://therecord.media/ransomware-gang-leaks-data-from-us-military-contractor-the-pdi-group/
Personal Touch Holding Corp. ,healthcare,provides home health care personnel and related services to individuals in their homes ,(second attack in 1 year) THC’s private cloud-stored business records of PTHC and its direct and indirect subsidiaries (a list is below) where patients’ personally identifiable information and protected health information were contained.,Not communicated,Not communicated,Mar-21,USA,Not communicated,https://www.prnewswire.com/news-releases/personal-touch-holding-corp-identifies-and-addresses-data-security-breach-301256229.html
YposKesi,healthcare,"pharmteco company, is one of Europe’s largest Contract Development and Manufacturing Organizations (CDMO) for gene therapy viral vector manufacturing.",theft of 23 GB of data from YposKesi's computer system,Not communicated,Not communicated,Mar-21,France,Babuk,https://proteuscyber.com/it/privacy-database/news/4198-hackers-attack-telethon-biotech-yposkesi-targeted-with-ransomware
ECU Worldwide ,services provider,Leading International Cargo & Air Freight Logistics Company., 2 terabytes of data stolen from ECU.,Not communicated,Not communicated,Mar-21,USA,Mount Locker,https://theloadstar.com/ecu-worldwide-chief-confirms-it-systems-are-down-after-cyber-incident/
Pierre Fabre ,healthcare,pharmaceutical company ,,$25 - 50 million,Not communicated,Apr-21,France,REvil,https://www.bleepingcomputer.com/news/security/leading-cosmetics-group-pierre-fabre-hit-with-25-million-ransomware-attack/
Bakker Logistiek ,food & beverage,one of the largest logistics services providers in the Netherlands,Supermarkets in the Netherlands were left with empty shelves in the cheese aisle after logistics company Bakker Logistiek were hit by a ransomware attack.,Not communicated,Not communicated,Apr-21,Netherlands,Not communicated,https://www.bleepingcomputer.com/news/security/dutch-supermarkets-run-out-of-cheese-after-ransomware-attack/
National Basketball Association (NBA),sports,professional basketball league,"criminal gang disclosed on their Dark Web page that they had exfiltrated a whopping 500 GB of the Houston Rockets’ data said to include critical non-disclosure agreements, contracts, and even financial info.", $50 million,Not communicated,Apr-21,USA,Babuk,https://www.cybersecurity-insiders.com/babuk-ransomware-attack-on-nba-houston-rockets/
Merseyrail,logistics,UK rail network that provides train service throughout Liverpool,employee's personal information stolen ,Not communicated,Not communicated,Apr-21,UK ,Lockbit,https://www.bleepingcomputer.com/news/security/uk-rail-network-merseyrail-likely-hit-by-lockbit-ransomware/
Aspire,charity,social care agency for the homeless ,cybercriminals published 100% of the stolen data on the Dark Web three weeks after the attack when payment had not been made,Not communicated,No,Apr-21,UK,Conti,https://www.scottishhousingnews.com/articles/social-care-organisation-aspire-falls-victim-to-data-ransom-attack
J&B Importers ,distributor ,"leading distributors of bicycles, parts, and accessories. ",one of its customers’ business information was affected because that information is stored off-site.,Not communicated,Not communicated,Apr-21,USA,Not communicated,https://www.databreaches.net/jb-importers-falls-victim-to-a-ransomware-attack/
Axios Italia ,Technology ,develops software platforms for distance education and offers web services for school management.,"Axios is among the Software as a Service platforms most used to manage attendance, judgments and communications with the families of Italian students and the problem therefore affects millions of students.",Tens of thousands Euros in Bitcoin,No,Apr-21,Italy,Not communicated,https://cryptonews.net/news/security/523950/
Nah&Frisch Wieser Türnitz ,food & beverage,supermarket,had to shut down for a few days,Not communicated,Not communicated,Apr-21,Austria,Not communicated,https://www.databreaches.net/at-nahfrisch-wieser-turnitz-hit-by-ransomware-attack/
Gino Group ,retail,car provider,"appointed a specialized company, in order to try to solve the problem and to limit the damage as much as possible",Not communicated,Not communicated,Apr-21,Italy,Not communicated,https://www.databreaches.net/it-gino-group-car-dealership-notifies-customers-of-ransomware-attack/
Würth ,supplier,(the French subsidiary of the German hardware chain) an electronic catalog and ordering system for our customers that is accessible via the Internet.,oblem that has impacted their system for more than one week,"500,000 euros",Not communicated,Apr-21,France,Not communicated,https://www.databreaches.net/fr-morieres-les-avignon-douai-wurth-france-suffer-cyber-attacks/
Asbis,distributor ,"multinational corporate group that is engaged in distribution of IT-products in Europe, Middle East and Africa emerging markets ",the threat actors posted a number of files as samples of what they claim to have accessed and exfiltrated and threaten to publish more and to hit the firm with a DDoS attack to further cripple it if their demands are not met,Not communicated,No,Apr-21,Cyprus,Avaddon,https://www.technadu.com/ransomware-actors-hit-asbis-cz-paralyzin-selling-activities/264919/
Griesser AG ,manufacturer,manufacture of innovative and high-quality solar shading products,"production facilities in Aadorf, Austria and France were affected.",Not communicated,Not communicated,Apr-21,Switzerland,Not communicated,https://hacknotice.com/2021/04/14/ch-griesser-ag-victim-of-ransomware-attack/
Bourbon Group ,logistics,French offshore vessel owner,attack locked up its computer system,Not communicated,Not communicated,Apr-21,France,Not communicated,https://splash247.com/bourbon-confirms-cyber-attack/
Phone House Spain ,services provider,"distributes a wide range of mobile phones, smartphones, tablets, accessories", stole and published 100GB of sensitive information of three million customers and employees.,Not communicated,No,Apr-21,Spain,Babuk,https://spainsnews.com/they-steal-and-spread-sensitive-information-from-three-million-phone-house-customers/
Cegos Group ,education,international leader in professional and contuining education,interruption of services,Not communicated,Not communicated,Apr-21,France,Not communicated,https://www.databreaches.net/fr-cegos-victim-of-ransomware-attack/
Madsack,media,regional and local media group,unknown ,Not communicated,Not communicated,Apr-21,Germany,Nefilim,https://www.databreaches.net/de-suspected-ransomware-cyber-attack-on-the-madsack-publishing-group/
Nordlo,Technology ,IT and cloud services,knocked out systems in several care institutions ,Not communicated,Not communicated,Apr-21,Norway,Not communicated,https://www.databreaches.net/no-ransomware-attack-on-nordlo-knocked-out-vakt-og-alarms-sick-signal-systems-in-several-care-institutions/
Swiss Cloud ,Technology ,cloud hosting provider ,"Payroll giant Sage, one of their most high-profile customers was affected by the outages.",Not communicated,Not communicated,May-21,Switzerland,Not communicated,https://securityaffairs.co/wordpress/117433/cyber-crime/swiss-cloud-ransomware-attack.html
Scripps ,healthcare,Healthcare giant,was forced to suspend user access to its online portal and switch to alternative methods for patient care operations while some critical care patients were redirected to other facilities following the attack.,Not communicated,Not communicated,May-21,USA,Not communicated,https://www.hipaajournal.com/scripps-health-ransomware-attack-cost-113-million/
Volue Technology,Technology ,leading supplier of technology ,"no evidence of data exfiltration, either personal or “energy-sensitive data"", found",Not communicated,Not communicated,May-21,Norway,RYUK,https://www.securityweek.com/green-energy-company-volue-hit-ransomware
Colonial Pipeline,Oil/Gas,"oil pipeline system that originates in Houston, Texas, and carries gasoline and jet fuel mainly to the Southeastern United States",caused havoc throughout several states in the US as the outages caused a shortage of gas,$5 million,Yes,May-21,USA,DarkSide ,https://www.cnbc.com/2021/06/08/colonial-pipeline-ceo-testifies-on-first-hours-of-ransomware-attack.html
Brenntag,distributor ,chemical distribution company ,The cybercriminals claimed to have stolen 150GB of data during the attack. A screenshot including some stolen data was shared on their leak site,$4.4 million ,Yes,May-21,Germany,DarkSide,https://www.bleepingcomputer.com/news/security/chemical-distributor-pays-44-million-to-darkside-ransomware/
AXA,Insurance (Finance?),Insurance giant,had exfiltrated 3 TB of sensitive data from the company’s Asian operations.,Not communicated ,Not communicated,May-21,France,Avaddon,https://portswigger.net/daily-swig/axa-ransomware-attack-comes-just-days-after-insurer-pulled-coverage-for-cyber-attack-class-in-france
Betenbough,build to rent,homebuilders,some sensitive client data had been posted on the Dark Web.,Not communicated ,No,May-21,USA,REvil,https://www.databreaches.net/tx-betenbough-homes-target-of-sodinokibi-threat-actors/
One Call ,Insurance (Finance?),insurance brokers,All systems and customer data have been stolen by hackers and cannot have access to it.,£15 million ,Not communicated,May-21,UK,Darkside,https://www.doncasterfreepress.co.uk/news/pay-us-ps15-million-or-else-one-call-hackers-ransom-demand-as-police-investigate-3242155
Bose,Technology ,audio company,employee data had been exfiltrated but had not been leaked on the Dark Web.,Not communicated ,No,May-21,USA,Not communicated,https://www.forbes.com/sites/leemathews/2021/05/25/bose-hit-by-ransomware-refuses-to-pay-ransom/
ParkMobile,logistics,a Tulsa Oklahoma firm that manages the city’s downtown parking via its app,incident was linked to a third-party software vendor.,Not communicated ,Not communicated,May-21,USA,Not communicated,https://krebsonsecurity.com/2021/04/parkmobile-breach-exposes-license-plate-data-mobile-numbers-of-21m-users/
JBS Foods,food & beverage,the world’s largest meat processing firm ,The company was forced to shut down production at several global sites ,$11 million,Yes,May-21,USA,Not communicated,https://www.theguardian.com/business/2021/jun/10/worlds-biggest-meat-producer-jbs-pays-11m-cybercrime-ransom
Exagrid,Technology ,tiered backup storage ,"the attack which exfiltrated employee and customer data, confidential contracts and source code",$2.6 million ,Yes,May-21,USA,Conti,https://www.computerweekly.com/news/252501665/Exagrid-pays-26m-to-Conti-ransomware-attackers
J. Spargo & Associates Inc. ,services provider,"full-service event management company that support the production of tradeshows, conventions, conferences, symposiums and seminars.",registration database breached in ransomware attack ,Not communicated,Not communicated,May-21,USA,Not communicated,https://www.cyberscoop.com/ransomware-attacks-spargo-sierra-wireless/
Albioma,energy,independent renewable energy producer (solar),no data breach detected ,Not communicated,Not communicated,May-21,France,Not communicated,https://www.globenewswire.com/news-release/2021/07/13/2262229/0/en/Albioma-Update-regarding-the-cyberattack-of-4-May.html
MedNetwoRX ,Technology ,software solutions for medical practice management,"some customers' access to their Aprima electronic health record systems for more than two weeks, no access to clinic schedule, chart notes, refill requests or incoming test results",Not communicated,Not communicated,May-21,USA,Not communicated,https://www.healthcareitnews.com/news/reported-ransomware-attack-leads-weeks-aprima-ehr-outages
Permanent Centre for Environment Initiatives (CPIE),environment ,organisation geared towards educating on environment and sustainable development,"lost everything in terms of files since April 2020: educational tools, booklets, action sheets. ",Not communicated,Not communicated,May-21,France,Not communicated,https://www.databreaches.net/fr-ransomware-attack-on-environmental-center-resulted-in-data-loss/
ATC Transportation ,services provider,provide a number of administrative and support services related to the auto and truck transport industry.,"the unauthorized actor may have contained some personal information of some current and former employees and applicants, including names, Social Security numbers, and DOT required drug test results.",Not communicated,Not communicated,May-21,USA ,Not communicated,https://www.databreaches.net/atc-transportation-discloses-ransomware-attack/
Ehrmann,food & beverage,multinational leading german dairy product producer,did not provide any statement about the scope of the breach.,Unknown in millions,No,May-21,Germany,Not communicated,https://www.databreaches.net/de-hackers-attack-ehrmann-demand-million-dollar-sum/
Energy Radio ,media,online radio,disruption in the avaialbility of the program following the attack,Not communicated,Not communicated,May-21,Germany,Not communicated,https://www.databreaches.net/de-hackers-attack-energy-hamburg-radio/
Möbelstadt Sommerlad ,retail,furniture company,"had to replace up to 400 hard drives on our computers, no data seemed to have been stolen",Not communicated,Not communicated,May-21,Germany,DarkSide,https://www.databreaches.net/de-darkside-threat-actors-attempted-to-extort-mobelstadt-sommerlad/
Eduro Healthcare ,healthcare,nursing home,exfiltrated 40 GB of data.,Not communicated,Not communicated,May-21,USA,Astro Team,https://www.databreaches.net/eduro-healthcare-hacked-copies-of-files-stolen/
Ardagh Glass Group ,manufacturer,producer of glass and metal products,"the breach resulted in the names, Social Security numbers, driver’s license numbers, passport numbers, other governmental identification numbers, birth certificates, financial account numbers, and work-related injury information being compromised",Not communicated,Not communicated,May-21,Luxembourg ,Not communicated,https://www.jdsupra.com/legalnews/ardagh-glass-inc-confirms-ransomware-5920676/
Utility Trailer Manufacturing Company,manufacturer,"semi-trailer truck dry van, flatbed, and refrigerated van trailer manufacturing company",ransomware gang leaked over 5 gigabytes of data to the dark web,Not communicated,Not communicated,May-21,USA,Clop,https://www.freightwaves.com/news/trailer-maker-utility-targeted-in-ransomware-attack
Toyota Motor Manufacturing MS,manufacturer,Toyota’s Mississippi plant ,reports say that some financial and customer data was exfiltrated and exposed + it is believed that a Russian hackers group was behind the attack (IR),Not communicated,Not communicated,May-21,USA,Not communicated,https://www.theregister.com/2021/05/21/toyota_cyber_attacks/
Stelliant Group ,services provider,"tailor-made services adapted to the needs of businesses, individuals and insurance professionals such as risk management",not found any trace of data theft,Not communicated,Not communicated,May-21,France,Not communicated,https://www.databreaches.net/some-incidents-reported-in-france-this-week/
Furniture Village ,retail,furniture company,"impacted delivery systems, phone systems, and according to customers, payment mechanisms.",Not communicated,Not communicated,Jun-21,UK,Not communicated,https://www.theregister.com/2021/06/04/furniture_village_confirms_cyberattack/
iConstituent,Technology ,a technology vendor used by the US Congress ,almost 60 House member offices being unable to access constituent data through the platform.,Not communicated,Not communicated,Jun-21,USA,Not communicated,https://www.cyberscoop.com/ransomware-iconstituent-congress/
LineStar Integrity Services,Oil/Gas,pipeline firm ,"70 gigabytes of data leaked to the Dark Web, including sensitive employee data and Social Security cards. ",Not communicated,Not communicated,Jun-21,USA,Xing Team,https://www.databreaches.net/ransomware-struck-another-pipeline-firm-and-70gb-of-data-leaked/
Edward Don ,food & beverage,Food service supplier ,"The attack is likely to cause supply chain disruptions for hospitals, restaurants, hotels, and bars.",Not communicated,Not communicated,Jun-21,USA,Not communicated,https://www.bleepingcomputer.com/news/security/foodservice-supplier-edward-don-hit-by-a-ransomware-attack/
Sol Oriens ,consulting?,a US government contractor that manages nuclear weapons programs for the National Nuclear Security Administration. ,no current indication that this incident involves client classified or critical security-related information,Not communicated,Not communicated,Jun-21,USA,REvil ,https://www.cnbc.com/2021/06/11/revil-hacker-group-attacks-sol-oriens-with-ransomware.html
Invenergy,energy,Solar and wind developer ,"attackers extracted 4 terabytes of sensitive data, including projects and contracts, as well as the terms of non-disclosure agreements.",Not communicated,No,Jun-21,USA,REvil,https://www.infosecurity-magazine.com/news/revil-claims-responsibility-for/
Reproductive Biology Associates ,healthcare,fertility clinic,"leaked data included patient names, addresses, social security numbers, lab results, and more.",Not communicated,Not communicated,Jun-21,USA,Not communicated,https://www.progress.org.uk/fertility-clinic-ransomware-data-breach-affected-38000-patients/
Lucky Star ,entertainment ,casino resorts in Oklahoma ,All six Lucky Star casino resorts in Oklahoma closed after the attack,Not communicated,Not communicated,Jun-21,USA,Not communicated,https://proteuscyber.com/et/privacy-database/news/4651-lucky-star-casinos-confirmed-it-suffered-ransomware-attack
Wolfe Eye Clinic ,healthcare,eye clinic,"theft of data belonging to 500,000 patients. ",Not communicated,No,Jun-21,USA,Not communicated,https://eu.desmoinesregister.com/story/news/crime-and-courts/2021/06/22/wolfe-eye-clinic-iowa-target-of-february-2021-cyberattack-information-leak/5310399001/
The Salvation Army ,charity,The UK arm of the religious charitable organization,unknown data was breached,Not communicated,Not communicated,Jun-21,UK,Conti/Pysa,https://www.idstrong.com/sentinel/uk-salvation-army-hit-with-ransomware/
Cox Media Group (CMG),media,media conglomerate,knocked off live TV and radio broadcast feeds,Not communicated,No,Jun-21,USA,Not communicated,https://www.bleepingcomputer.com/news/security/cox-media-group-confirms-ransomware-attack-that-took-down-broadcasts/
Gateley,legal,"overs a broad range of legal areas, including corporate, commercial, media, sports, disputes and arbitration, property, employment and tax.","the attack was confined to just 0.2% of its data, but that this included client data.",Not communicated,Not communicated,Jun-21,UK,Not communicated,https://www.securityweek.com/uk-law-firm-gateley-discloses-data-breach
Steamship Authority ,logistics,High-speed ferry service available seasonally between Nantucket and Hyannis.,"Ships were running safely, but passengers couldn't book or change their reservations online or on the phone",Not communicated,Not communicated,Jun-21,USA,Not communicated,https://www.nbcboston.com/news/local/mass-steamship-authority-still-impacted-by-cyber-attack/2399217/
New York Pizza,food & beverage,Dutch pizza chain,"they believe the hacker got its hands on the data of approximately 3.9 million users (about 22% of the Netherlands’entire population) such names, delivery addresses, email addresses, telephone numbers, hashed passwords for NYP online accounts, past orders, and in some cases, even dates of birth.",Not communicated,Not communicated,Jun-21,Netherlands,Not communicated,https://therecord.media/dutch-pizza-chain-discloses-breach-after-hacker-tries-to-extort-company/
Produits de Revêtement du Bâtiment ,supplier,Building materials supplier,had to interrupt their activity,Not communicated,Not communicated,Jun-21,France,Not communicated,https://www.francebleu.fr/infos/faits-divers-justice/vendee-l-entreprise-prb-touchee-par-une-cyberattaque-1622814480
HOYA Optical Labs of America ,manufacturer,"Optical products manufacturer, attack on its United States Systems.",attack that may have exposed 300 gigabyte of personally identifiable information (PII) including Social Security numbers and bank account information.,Not communicated,Not communicated,Jun-21,USA,Astro Team,https://healthitsecurity.com/news/hoya-optical-labs-notifies-consumers-of-healthcare-ransomware-attack
Gerry Weber ,manufacturer,fashion manufacturer,IT system was paralyzed for more than a week with employees unable to work regularly because time recording or label printing no longer worked after the systems were shut down as a precautionary measure.,Not communicated,Not communicated,Jun-21,Germany,Not communicated,https://www.businessinsider.de/wirtschaft/handel/hackerangriff-auf-gerry-weber-it-system-und-kunden-betroffen-a/
Kaseya,Technology ,US software company ,Multiple managed service providers (MSPs) were impacted as well as over 1500 end customers. ,$70 million ,No,Jul-21,USA,REvil,https://www.washingtonpost.com/technology/2021/07/22/kaseya-ransomware-revil-key/
Coop,food & beverage,supermarkets chain,The supermarket confirmed they were forced to close over half of their 800 stores,Not communicated,Not communicated,Jul-21,Sweden,REvil,https://www.truesec.com/why-truesec/cases/coop-back-in-business-after-the-largest-ransomware-attack-of-all-time
SYNNEX,Technology ,tech distributor,its systems and Microsoft accounts had been attacked after the National Committee of the US Republican Party (RNC) named it as the source of their recent security incident. ,Not communicated,Not communicated,Jul-21,USA,CozyBear ,https://www.livemint.com/news/world/a-massive-ransomware-attack-has-hit-more-than-1-000-companies-11625324582298.html
Wiregrass Electric Cooperative ,energy,electric utility cooperative,left customers without access to their account information.,Not communicated,Not communicated,Jul-21,USA,Not communicated,https://securityaffairs.co/wordpress/119827/cyber-crime/wiregrass-electric-cooperative-attack.html
Comparis,services provider,online comparison service,consequence of Kaseya,"$400,000 ",Not communicated,Jul-21,Switzerland,Revil,https://www.swissinfo.ch/eng/ransomware-attack-at-comparis-resulted-in-data-breach/46789448
Guess ,retail,fashion brand and retailer ,exfiltrated 200 GBs of data from the retailer,Not communicated,Not communicated,Jul-21,USA,Darkside,https://www.zdnet.com/article/guess-announces-breach-of-employee-ssns-and-financial-data-after-darkside-attack/
Famous Smoke Shop ,retail,retail store and cigar lounge,one of the 1500 victims impacted from the holiday weekend attack on Kaseya,"$45,000 in cryptocurrency",Not communicated,Jul-21,USA,Revil,https://halfwheel.com/famous-smoke-shop-returns-online-after-ransomware-attack/398241/
York Animal ,healthcare,veterinary clinic,wipe all patient records from the last four years.,"$80,000 in Bitcoin",Not communicated,Jul-21,USA ,REvil ,https://eu.seacoastonline.com/story/news/crime/2021/07/12/york-animal-hospital-maine-ransomware-cyberattack-wipes-pet-medical-records-suspects-russia-bitcoin/7938174002/
Cloudstar,Technology ,company that provides technology for hundreds of title companies and lenders ,"provides around-the-clock support to title professionals in the real estate, finance and insurance sector",Not communicated,Not communicated,Jul-21,USA,Not communicated,https://www.fitchratings.com/research/insurance/cloudstar-ransomware-highlights-multiple-issuer-exposure-potential-22-07-2021
"Campbell Conroy & O’Neil, P.C. (Campbell)",law,law firm who counts dozens of Fortune and Global 500 companies as clients recently disclosed that an earlier ransomware attack had resulted in a data breach,"clients include companies such as Apple, Mercedes Benz, British Airways and Marriott to name a few",Not communicated,Not communicated,Jul-21,USA,Not communicated,https://www.securityweek.com/law-firm-campbell-conroy-oneil-discloses-ransomware-attack
Northern Rail ,transportation,transportation network had their new self-service ticket machines targeted by a ransomware attack. ,"company stated they had taken “swift action” along with its supplier, Flowbird ( company specializing in payment and ticketing systems)",Not communicated,Not communicated,Jul-21,USA,Not communicated,https://www.bbc.co.uk/news/uk-england-57892711
Florida Heart Associates ,healthcare,brings together medical professionals with advanced training in cardiovascular healt,cybercriminals took down their phone lines and basically destroyed their entire system. The organization shared with media that they had lost staff (only 50% of clinic operational),Not communicated,Not communicated,Jul-21,USA,Not communicated,https://www.hipaajournal.com/florida-heart-associates-operating-at-50-capacity-2-months-after-ransomware-attack/
Babuk,ransomware group,ransomware criminal organisation,", a Dark Web ransomware forum called RAMP, was overloaded with pornography during an attack.Babuk managed to wipe the images but they were quickly uploaded by the attackers again",$5000 ,No,Jul-21,Unknown,Not communicated,https://www.blackfog.com/the-state-of-ransomware-in-2021/
Macmillan Publishers ,publishing ,trade publishing firm,the company was forced to shut down its network and offices while it recovered,Not communicated,Not communicated,Jul-21,USA,Not communicated,https://techcrunch.com/2022/07/01/publisher-macmillan-ransomware/
MasMovil,telecommunication,telecom giant,ransomware gang is claiming to have downloaded databases and other important data belonging to the MasMovil group,Not communicated,Not communicated,Jul-21,Spain,REvil,https://securityaffairs.co/wordpress/119719/cyber-crime/masmovil-ransomware-attack.html
Pacific Market Research ,marketing,strategic research firm specializing in marketing and opinion research.,"A document on the vendor’s system “listed contact information, claim numbers and dates of birth for 16,466 workers who had workers’ compensation claims in 2019",Not communicated,Not communicated,Jul-21,USA,Not communicated,https://www.seattletimes.com/business/ransomware-attack-may-have-exposed-personal-data-in-thousands-of-workers-comp-claims/
The Republican Party (GOP) ,politics,one of the two major contemporary political parties in the United States ,Attack group has been tied to Russia’s foreign intelligence service and has previously been accused of breaching the Democratic National Committee in 2016,Not communicated,Not communicated,Jul-21,USA,CozyBear,https://www.bloomberg.com/news/articles/2021-07-06/russian-state-hackers-breached-republican-national-committee
Forefront Dermatology ,healthcare, leading dermatology group, compromised the credentials of 2.4 million patients and employees.,$3.7 million,Yes,Jul-21,USA,Cuba,https://www.law360.com/cybersecurity-privacy/articles/1526947/dermatology-co-would-pay-3-7m-to-end-ransomware-suit
Royatonic spa ,entertainment ,spa centre ,the spa had to close because a cyberattack blocked access to their server and paralyzed all their activity.,"28,000 euros in Bitcoin",Not communicated,Jul-21,France,Not communicated,https://www.databreaches.net/fr-ransomware-attack-on-spa-is-anything-but-relaxing/
Walter’s Automotive Group,retail,Car dealer,"data leaked included images of driver's licenses, customer credit applications, applicant’s name, date of birth, current address, SSN, phone number, email address, current and past employers, past addresses, salary information, and credit history including FICO score, loan balances, etc.",Not communicated,Not communicated,Jul-21,USA,Vice Society,https://www.databreaches.net/ca-threat-actors-dump-tens-of-thousands-of-drivers-license-images-and-credit-reports-for-customers-of-walters-automotive-group/
Rehabilitation Support Services,healthcare,supports individuals with psychiatric and substance abuse disorders.,"stole 4 GB data from file servers, including internal company documents, personal and customers data (balance sheets, taxes, site plans, checks, deposits, health insurance, bank  statements, invoices, preliminary estimated projections, capital project summary)",Not communicated,Not communicated,Jul-21,USA,Grief ,https://www.databreaches.net/ny-grief-claims-to-have-breached-rehabilitation-support-services/
De Mandemakers Groep ,retail,Kitchen and furniture seller,delays in deliveries ,Not communicated,Not communicated,Jul-21,Netherlands,Not communicated,https://www-rtlnieuws-nl.translate.goog/nieuws/nederland/artikel/5239281/losgeld-geeist-ransomware-afpersing-mandemakers-groep?_x_tr_sl=nl&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc
Renaissance Life & Health Insurance Company of America,Insurance (Finance?),dental insurance company,"data may have included a combination of certain individuals' names, addresses, dates of birth, health insurance policy numbers, and other health insurance information (e.g., policy type, premium amount, issuance date, etc.)",Not communicated,Not communicated,Jul-21,USA,Not communicated,https://www.prnewswire.com/news-releases/renaissance-life--health-insurance-company-of-america-provides-notice-of-third-party-data-incident-301345240.html
Advanced Technology Ventures ,finance,"venture capital firm that invests in IT, healthcare, and cleantech companies.","300 investors were impacted by the attack, the data exfiltrated during the attack included names, email addresses, phone numbers and Social Security Numbers of individual investors in company funds.",Not communicated,Not communicated,Aug-21,USA,Not communicated,https://techcrunch.com/2021/08/03/atv-venture-capital-ransomware/
ERG,energy,leading wind power operator ,a few minor disruptions to ICT infrastructure ,Not communicated,Not communicated,Aug-21,Italy,LockBit 2.0 ,https://securityaffairs.co/wordpress/120841/cyber-crime/erg-lockbit-2-0-ransomware.html
Ermenegildo Zegna,retail,luxury fashion house ,criminals exfiltrated 20.74GB of data from the company.,Not communicated,Not communicated,Aug-21,Italy,RansomEXX ,https://www.bleepingcomputer.com/news/security/luxury-fashion-house-zegna-confirms-august-ransomware-attack/
Accenture,Technology ,global IT consultancy giant ,The cybercriminal gang claimed to have stolen 6TB,$50 million ,No,Aug-21,Ireland,LockBit,https://www.cshub.com/executive-decisions/articles/accenture-faces-50-million-ransom-demand
SAC Wireless ,Technology ,Nokia phones subsidiary ,Personal information relating to past and current employees was compromised. The gang claimed to have stolen 250GB of files.,Not communicated,Not communicated,Aug-21,USA ,Conti,https://www.bleepingcomputer.com/news/security/nokia-subsidiary-discloses-data-breach-after-conti-ransomware-attack/
